Year,Frequency of observation,Reporting type,Series,Reference area,Composite breakdown,Units,Value
2012,Annual,National,IT_NET_BBNDN,Kyrgyzstan,Internet speed: 256 kbit/s to less than 2 Mbit/s,NUMBER,22233
2013,Annual,National,IT_NET_BBNDN,Kyrgyzstan,Internet speed: 256 kbit/s to less than 2 Mbit/s,NUMBER,77877
2014,Annual,National,IT_NET_BBNDN,Kyrgyzstan,Internet speed: 256 kbit/s to less than 2 Mbit/s,NUMBER,105680
2015,Annual,National,IT_NET_BBNDN,Kyrgyzstan,Internet speed: 256 kbit/s to less than 2 Mbit/s,NUMBER,46408
2016,Annual,National,IT_NET_BBNDN,Kyrgyzstan,Internet speed: 256 kbit/s to less than 2 Mbit/s,NUMBER,27317
2017,Annual,National,IT_NET_BBNDN,Kyrgyzstan,Internet speed: 256 kbit/s to less than 2 Mbit/s,NUMBER,27428
2018,Annual,National,IT_NET_BBNDN,Kyrgyzstan,Internet speed: 256 kbit/s to less than 2 Mbit/s,NUMBER,12521
2012,Annual,National,IT_NET_BBNDN,Kyrgyzstan,Internet speed: 2 Mbit/s to less than 10 Mbit/s,NUMBER,6530
2013,Annual,National,IT_NET_BBNDN,Kyrgyzstan,Internet speed: 2 Mbit/s to less than 10 Mbit/s,NUMBER,43943
2014,Annual,National,IT_NET_BBNDN,Kyrgyzstan,Internet speed: 2 Mbit/s to less than 10 Mbit/s,NUMBER,65345
2015,Annual,National,IT_NET_BBNDN,Kyrgyzstan,Internet speed: 2 Mbit/s to less than 10 Mbit/s,NUMBER,59374
2016,Annual,National,IT_NET_BBNDN,Kyrgyzstan,Internet speed: 2 Mbit/s to less than 10 Mbit/s,NUMBER,91834
2017,Annual,National,IT_NET_BBNDN,Kyrgyzstan,Internet speed: 2 Mbit/s to less than 10 Mbit/s,NUMBER,101786
2018,Annual,National,IT_NET_BBNDN,Kyrgyzstan,Internet speed: 2 Mbit/s to less than 10 Mbit/s,NUMBER,73099
2012,Annual,National,IT_NET_BBNDN,Kyrgyzstan,Internet speed: 10 Mbit/s or above,NUMBER,19351
2013,Annual,National,IT_NET_BBNDN,Kyrgyzstan,Internet speed: 10 Mbit/s or above,NUMBER,14065
2014,Annual,National,IT_NET_BBNDN,Kyrgyzstan,Internet speed: 10 Mbit/s or above,NUMBER,14032
2015,Annual,National,IT_NET_BBNDN,Kyrgyzstan,Internet speed: 10 Mbit/s or above,NUMBER,105739
2016,Annual,National,IT_NET_BBNDN,Kyrgyzstan,Internet speed: 10 Mbit/s or above,NUMBER,117068
2017,Annual,National,IT_NET_BBNDN,Kyrgyzstan,Internet speed: 10 Mbit/s or above,NUMBER,128799
2018,Annual,National,IT_NET_BBNDN,Kyrgyzstan,Internet speed: 10 Mbit/s or above,NUMBER,154572
