Year,Frequency of observation,Reporting type,Series,Reference area,Units,Value
2013,Annual,National,_L_KG_080301_21,,PT,2.3
2014,Annual,National,_L_KG_080301_21,,PT,2.3
2015,Annual,National,_L_KG_080301_21,,PT,2.2
2016,Annual,National,_L_KG_080301_21,,PT,2.2
2017,Annual,National,_L_KG_080301_21,,PT,2.3
2018,Annual,National,_L_KG_080301_21,,PT,2.2
2013,Annual,National,_L_KG_080301_22,,PT,1.6
2014,Annual,National,_L_KG_080301_22,,PT,1.6
2015,Annual,National,_L_KG_080301_22,,PT,1.5
2016,Annual,National,_L_KG_080301_22,,PT,1.5
2017,Annual,National,_L_KG_080301_22,,PT,1.5
2018,Annual,National,_L_KG_080301_22,,PT,1.4
