Year,OBS_STATUS,UNIT_MULT,NATURE,FREQ,REPORTING_TYPE,Series,REF_AREA,Units,Value
2007,A,0,C,A,N,_L_KG_010301_1C6,,PT,10.1
2008,A,0,C,A,N,_L_KG_010301_1C6,,PT,10.6
2009,A,0,C,A,N,_L_KG_010301_1C6,,PT,10.527481
2010,A,0,C,A,N,_L_KG_010301_1C6,,PT,10.608791
2011,A,0,C,A,N,_L_KG_010301_1C6,,PT,10.838101
2012,A,0,C,A,N,_L_KG_010301_1C6,,PT,11.043937
2013,A,0,C,A,N,_L_KG_010301_1C6,,PT,10.825698
2014,A,0,C,A,N,_L_KG_010301_1C6,,PT,10.759191
2015,A,0,C,A,N,_L_KG_010301_1C6,,PT,10.746011
2016,A,0,C,A,N,_L_KG_010301_1C6,,PT,10.768411
2017,A,0,C,A,N,_L_KG_010301_1C6,,PT,10.760094
2018,A,0,C,A,N,_L_KG_010301_1C6,,PT,10.874701
2007,A,0,C,A,N,_L_KG_010301_1C2,,PT,8.277782
2008,A,0,C,A,N,_L_KG_010301_1C2,,PT,6.836681
2009,A,0,C,A,N,_L_KG_010301_1C2,,PT,6.915016
2010,A,0,C,A,N,_L_KG_010301_1C2,,PT,6.6
2011,A,0,C,A,N,_L_KG_010301_1C2,,PT,6.879721
2012,A,0,C,A,N,_L_KG_010301_1C2,,PT,6.187625
2013,A,0,C,A,N,_L_KG_010301_1C2,,PT,5.8
2014,A,0,C,A,N,_L_KG_010301_1C2,,PT,5.3
2015,A,0,C,A,N,_L_KG_010301_1C2,,PT,5.1
2016,A,0,C,A,N,_L_KG_010301_1C2,,PT,4.5
2017,A,0,C,A,N,_L_KG_010301_1C2,,PT,4.7
2018,A,0,C,A,N,_L_KG_010301_1C2,,PT,4.5
2007,A,0,C,A,N,_L_KG_010301_1C4,,PT,1.124026
2008,A,0,C,A,N,_L_KG_010301_1C4,,PT,1.150702
2009,A,0,C,A,N,_L_KG_010301_1C4,,PT,1.176048
2010,A,0,C,A,N,_L_KG_010301_1C4,,PT,1.2
2011,A,0,C,A,N,_L_KG_010301_1C4,,PT,1.287183
2012,A,0,C,A,N,_L_KG_010301_1C4,,PT,1.283635
2013,A,0,C,A,N,_L_KG_010301_1C4,,PT,1.3
2014,A,0,C,A,N,_L_KG_010301_1C4,,PT,1.3
2015,A,0,C,A,N,_L_KG_010301_1C4,,PT,1.3
2016,A,0,C,A,N,_L_KG_010301_1C4,,PT,1.4
2017,A,0,C,A,N,_L_KG_010301_1C4,,PT,1.4
2018,A,0,C,A,N,_L_KG_010301_1C4,,PT,1.4
