Year,FREQ,REPORTING_TYPE,Series,REF_AREA,Units,Value
2007,A,N,_L_KG_010301_1F2,,PT,114961.0
2008,A,N,_L_KG_010301_1F2,,PT,120274.0
2009,A,N,_L_KG_010301_1F2,,PT,124751.0
2010,A,N,_L_KG_010301_1F2,,PT,133398.0
2011,A,N,_L_KG_010301_1F2,,PT,142897.0
2012,A,N,_L_KG_010301_1F2,,PT,150206.0
2013,A,N,_L_KG_010301_1F2,,PT,162967.0
2014,A,N,_L_KG_010301_1F2,,PT,168679.0
2015,A,N,_L_KG_010301_1F2,,PT,174693.0
2016,A,N,_L_KG_010301_1F2,,PT,178944.0
2017,A,N,_L_KG_010301_1F2,,PT,183330.0
2018,A,N,_L_KG_010301_1F2,,PT,187313.0
2007,A,N,_L_KG_010301_1F1,,PT,2.1907490000000003
2008,A,N,_L_KG_010301_1F1,,PT,2.2739529999999997
2009,A,N,_L_KG_010301_1F1,,PT,2.326232
2010,A,N,_L_KG_010301_1F1,,PT,2.46199
2011,A,N,_L_KG_010301_1F1,,PT,2.608742
2012,A,N,_L_KG_010301_1F1,,PT,2.705494
2013,A,N,_L_KG_010301_1F1,,PT,2.8211720000000002
2014,A,N,_L_KG_010301_1F1,,PT,2.861361
2015,A,N,_L_KG_010301_1F1,,PT,2.902128
2016,A,N,_L_KG_010301_1F1,,PT,2.914302
2017,A,N,_L_KG_010301_1F1,,PT,2.930125
2018,A,N,_L_KG_010301_1F1,,PT,2.931575
