Year,FREQ,REPORTING_TYPE,Series,REF_AREA,SEX,AGE,URBANISATION,INCOME_WEALTH_QUANTILE,EDUCATION_LEV,DISABILITY_STATUS,Units,Value
2018,A,N,VC_VOV_DCMN,,F,Y15T49,,,,,PT,7.7
2018,A,N,VC_VOV_DCMN,,F,Y15T49,U,,,,PT,7.9
2018,A,N,VC_VOV_DCMN,,F,Y15T49,R,,,,PT,7.6
2018,A,N,VC_VOV_DCMN,KG05,F,Y15T49,,,,,PT,0.4
2018,A,N,VC_VOV_DCMN,KG03,F,Y15T49,,,,,PT,7.3
2018,A,N,VC_VOV_DCMN,KG02,F,Y15T49,,,,,PT,1.7
2018,A,N,VC_VOV_DCMN,KG04,F,Y15T49,,,,,PT,2.8
2018,A,N,VC_VOV_DCMN,KG06,F,Y15T49,,,,,PT,6.5
2018,A,N,VC_VOV_DCMN,KG07,F,Y15T49,,,,,PT,50.0
2018,A,N,VC_VOV_DCMN,KG08,F,Y15T49,,,,,PT,16.6
2018,A,N,VC_VOV_DCMN,KG11,F,Y15T49,,,,,PT,8.7
2018,A,N,VC_VOV_DCMN,KG21,F,Y15T49,,,,,PT,70.0
2018,A,N,VC_VOV_DCMN,,F,Y15T19,,,,,PT,6.5
2018,A,N,VC_VOV_DCMN,,F,Y15T17,,,,,PT,5.7
2018,A,N,VC_VOV_DCMN,,F,Y18T19,,,,,PT,8.3
2018,A,N,VC_VOV_DCMN,,F,Y20T24,,,,,PT,9.1
2018,A,N,VC_VOV_DCMN,,F,Y25T29,,,,,PT,7.1
2018,A,N,VC_VOV_DCMN,,F,Y30T34,,,,,PT,8.8
2018,A,N,VC_VOV_DCMN,,F,Y35T39,,,,,PT,8.7
2018,A,N,VC_VOV_DCMN,,F,Y40T44,,,,,PT,6.4
2018,A,N,VC_VOV_DCMN,,F,Y45T49,,,,,PT,70.0
2018,A,N,VC_VOV_DCMN,,F,Y15T49,,,ISCED11_1,,PT,140.0
2018,A,N,VC_VOV_DCMN,,F,Y15T49,,,ISCED11_2,,PT,59.0
2018,A,N,VC_VOV_DCMN,,F,Y15T49,,,ISCED11_3,,PT,69.0
2018,A,N,VC_VOV_DCMN,,F,Y15T49,,,ISCED11_4,,PT,82.0
2018,A,N,VC_VOV_DCMN,,F,Y15T49,,,,PD,PT,207.0
2018,A,N,VC_VOV_DCMN,,F,Y15T49,,,,PWD,PT,76.0
2018,A,N,VC_VOV_DCMN,,F,Y15T49,,Q1,,,PT,60.0
2018,A,N,VC_VOV_DCMN,,F,Y15T49,,Q2,,,PT,67.0
2018,A,N,VC_VOV_DCMN,,F,Y15T49,,Q3,,,PT,97.0
2018,A,N,VC_VOV_DCMN,,F,Y15T49,,Q4,,,PT,71.0
2018,A,N,VC_VOV_DCMN,,F,Y15T49,,Q5,,,PT,88.0
