Year,OBS_STATUS,UNIT_MULT,NATURE,FREQ,REPORTING_TYPE,Series,REF_AREA,COMPOSITE_BREAKDOWN,Units,Value
2010,A,0,C,A,N,_L_KG_090401_1,,,KG,1536
2011,A,0,C,A,N,_L_KG_090401_1,,,KG,2124
2012,A,0,C,A,N,_L_KG_090401_1,,,KG,2177
2013,A,0,C,A,N,_L_KG_090401_1,,,KG,2255
2014,A,0,C,A,N,_L_KG_090401_1,,,KG,3026
2015,A,0,C,A,N,_L_KG_090401_1,,,KG,3049
2016,A,0,C,A,N,_L_KG_090401_1,,,KG,2643
2017,A,0,C,A,N,_L_KG_090401_1,,,KG,2482
2018,A,0,C,A,N,_L_KG_090401_1,,,KG,2836
2010,A,0,C,A,N,_L_KG_090401_1,,_L_POL_SOLID,KG,745
2011,A,0,C,A,N,_L_KG_090401_1,,_L_POL_SOLID,KG,906
2012,A,0,C,A,N,_L_KG_090401_1,,_L_POL_SOLID,KG,909
2013,A,0,C,A,N,_L_KG_090401_1,,_L_POL_SOLID,KG,800
2014,A,0,C,A,N,_L_KG_090401_1,,_L_POL_SOLID,KG,1127
2015,A,0,C,A,N,_L_KG_090401_1,,_L_POL_SOLID,KG,1218
2016,A,0,C,A,N,_L_KG_090401_1,,_L_POL_SOLID,KG,1013
2017,A,0,C,A,N,_L_KG_090401_1,,_L_POL_SOLID,KG,1261
2018,A,0,C,A,N,_L_KG_090401_1,,_L_POL_SOLID,KG,910
2010,A,0,C,A,N,_L_KG_090401_1,,_L_POL_GASLIQ,KG,790
2011,A,0,C,A,N,_L_KG_090401_1,,_L_POL_GASLIQ,KG,1218
2012,A,0,C,A,N,_L_KG_090401_1,,_L_POL_GASLIQ,KG,1268
2013,A,0,C,A,N,_L_KG_090401_1,,_L_POL_GASLIQ,KG,1456
2014,A,0,C,A,N,_L_KG_090401_1,,_L_POL_GASLIQ,KG,1899
2015,A,0,C,A,N,_L_KG_090401_1,,_L_POL_GASLIQ,KG,1831
2016,A,0,C,A,N,_L_KG_090401_1,,_L_POL_GASLIQ,KG,1630
2017,A,0,C,A,N,_L_KG_090401_1,,_L_POL_GASLIQ,KG,1221
2018,A,0,C,A,N,_L_KG_090401_1,,_L_POL_GASLIQ,KG,1926
2010,A,0,C,A,N,_L_KG_090401_1,,_L_POL_S02,KG,395
2011,A,0,C,A,N,_L_KG_090401_1,,_L_POL_S02,KG,470
2012,A,0,C,A,N,_L_KG_090401_1,,_L_POL_S02,KG,271
2013,A,0,C,A,N,_L_KG_090401_1,,_L_POL_S02,KG,631
2014,A,0,C,A,N,_L_KG_090401_1,,_L_POL_S02,KG,923
2015,A,0,C,A,N,_L_KG_090401_1,,_L_POL_S02,KG,954
2016,A,0,C,A,N,_L_KG_090401_1,,_L_POL_S02,KG,806
2017,A,0,C,A,N,_L_KG_090401_1,,_L_POL_S02,KG,390
2018,A,0,C,A,N,_L_KG_090401_1,,_L_POL_S02,KG,903
2010,A,0,C,A,N,_L_KG_090401_1,,_L_POL_CO,KG,170
2011,A,0,C,A,N,_L_KG_090401_1,,_L_POL_CO,KG,484
2012,A,0,C,A,N,_L_KG_090401_1,,_L_POL_CO,KG,498
2013,A,0,C,A,N,_L_KG_090401_1,,_L_POL_CO,KG,523
2014,A,0,C,A,N,_L_KG_090401_1,,_L_POL_CO,KG,615
2015,A,0,C,A,N,_L_KG_090401_1,,_L_POL_CO,KG,499
2016,A,0,C,A,N,_L_KG_090401_1,,_L_POL_CO,KG,471
2017,A,0,C,A,N,_L_KG_090401_1,,_L_POL_CO,KG,471
2018,A,0,C,A,N,_L_KG_090401_1,,_L_POL_CO,KG,607
2010,A,0,C,A,N,_L_KG_090401_1,,_L_POL_NOX,KG,125
2011,A,0,C,A,N,_L_KG_090401_1,,_L_POL_NOX,KG,154
2012,A,0,C,A,N,_L_KG_090401_1,,_L_POL_NOX,KG,176
2013,A,0,C,A,N,_L_KG_090401_1,,_L_POL_NOX,KG,173
2014,A,0,C,A,N,_L_KG_090401_1,,_L_POL_NOX,KG,212
2015,A,0,C,A,N,_L_KG_090401_1,,_L_POL_NOX,KG,200
2016,A,0,C,A,N,_L_KG_090401_1,,_L_POL_NOX,KG,218
2017,A,0,C,A,N,_L_KG_090401_1,,_L_POL_NOX,KG,195
2018,A,0,C,A,N,_L_KG_090401_1,,_L_POL_NOX,KG,228
